"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"13",571760,"Heaney, Andrew","13","100.0","0.500","0.000","1.000","0.500","0.524","0.444","0.346","1","2","94.1","10.0","2294","85.8","85.47","1","3","10","-0.3","5.96","95","145","90","152","257","302","297"
"23",605164,"Bundy, Dylan","23","100.0","0.250","0.000","1.000","0.250","0.220","0.023","0.024","1","4","91.4","-25.0","2119","89.9","89.42","2","10","13","-0.5","5.92","95","151","114","152","279","299","279"
"14",663776,"Sandoval, Patrick","14","100.0","0.250","0.000","0.500","0.250","0.220","0.039","0.043","1","4","89.8","-32.5","2058","91.8","91.87","1","7","7","0.1","6.31","96","139","93","145","271","296","287"
"610",545361,"Trout, Mike","610","100.0","0.333","0.291","0.456","0.624","0.451","0.425","0.303","39","117","91.9","12.8","2329","90.3","90.33","66","240","370","0.0","6.32","108","153","121","145","306","326","298"
"54",445055,"Jay, Jon","54","100.0","0.357","0.000","0.417","0.357","0.314","0.185","0.202","5","14","83.2","3.9","2410","91.1","90.81","5","35","19","-0.3","6.09","106","149","107","147","274","312","298"
"1073",669016,"Marsh, Brandon","1073","100.0","0.254","0.102","0.403","0.356","0.296","0.325","0.266","60","236","90.9","7.6","2225","88.5","88.47","161","488","585","0.0","6.28","118","151","116","150","293","321","302"
"77",451594,"Fowler, Dexter","77","100.0","0.250","0.000","0.357","0.250","0.242","0.267","0.232","5","20","86.7","23.8","2264","89.1","89.34","14","45","32","0.2","6.45","115","148","109","152","303","320","294"
"96",621532,"Bemboom, Anthony","96","100.0","0.222","0.000","0.353","0.222","0.213","0.197","0.185","6","27","79.6","5.0","2188","88.3","87.89","17","48","48","-0.4","6.05","117","153","112","149","286","321","299"
"2256",665120,"Walsh, Jared","2256","100.0","0.277","0.232","0.335","0.509","0.357","0.327","0.257","147","530","89.6","7.8","2239","88.5","88.47","289","1112","1144","0.0","6.27","116","163","126","152","298","325","304"
"1270",545358,"Stassi, Max","1270","100.0","0.241","0.184","0.325","0.426","0.327","0.323","0.232","68","282","89.9","11.1","2243","89.1","89.15","177","565","705","0.0","6.32","105","152","120","146","307","322","293"
"1436",594838,"Gosselin, Phil","1436","100.0","0.261","0.101","0.322","0.362","0.297","0.288","0.240","90","345","87.0","11.4","2220","88.8","88.71","137","656","780","-0.1","6.30","107","151","115","146","304","319","289"
"2594",660271,"Ohtani, Shohei","2594","100.0","0.257","0.335","0.303","0.592","0.393","0.411","0.269","138","537","92.9","16.3","2198","88.2","88.05","416","1189","1405","-0.1","6.29","117","156","129","151","300","328","308"
"874",621493,"Ward, Taylor","874","100.0","0.250","0.188","0.301","0.438","0.333","0.344","0.259","52","208","86.9","16.0","2210","88.0","88.06","103","411","463","0.1","6.36","108","152","118","148","303","323","294"
"569",666176,"Adell, Jo","569","100.0","0.246","0.162","0.298","0.408","0.303","0.316","0.258","32","130","85.8","9.5","2287","89.4","89.29","91","306","263","-0.1","6.31","106","152","119","146","306","321","292"
"114",594988,"Schebler, Scott","114","100.0","0.147","0.088","0.294","0.235","0.161","0.158","0.142","5","34","83.9","20.1","2345","88.0","87.64","31","74","40","-0.4","6.15","114","160","126","153","288","321","296"
"1237",501571,"Lagares, Juan","1237","100.0","0.236","0.136","0.294","0.372","0.274","0.282","0.244","73","309","87.8","8.8","2207","88.6","88.64","151","622","615","0.0","6.33","106","150","113","146","306","320","289"
"1605",578428,"Iglesias, José","1605","100.0","0.259","0.116","0.291","0.375","0.291","0.301","0.275","110","424","85.8","10.9","2224","88.7","88.66","174","892","713","0.0","6.31","107","152","114","148","303","318","287"
"2218",664058,"Fletcher, David","2218","100.0","0.262","0.062","0.287","0.324","0.273","0.281","0.273","164","626","81.5","7.7","2243","89.2","89.16","98","1031","1187","0.0","6.32","108","151","107","147","297","310","276"
